danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,track_title,album_title,album_artist,track_number,total_tracks
0.62,0.936,7,-4.593,1,0.0308,0.0261,0,0.0679,0.763,97.527,4YwbSZaYeYja8Umyt222Qf,175747,4,You Can't Hurry Love - 2016 Remaster,"Hello, I Must Be Going! (Deluxe Edition)",Phil Collins,5,87
0.592,0.842,11,-6.681,1,0.0353,0.000219,0,0.0934,0.898,107.015,0zjB7ewBWnMgQDMQpFzt92,196200,4,Year 3000,Busted,Busted,5,87
0.73,0.862,11,-5.876,1,0.0313,0.0398,0,0.0818,0.77,104.018,22c2pt75xtnDddA5Zlm0yy,200560,4,All Star,All Star Smash Hits,Smash Mouth,1,87
0.735,0.868,11,-9.07,1,0.0387,0.0339,0.0264,0.234,0.965,129.963,6Lm4gAYohwHTEyp6enjDc6,223910,4,Saturday Night - Radio Edit,Saturday Night Single,Whigfield,6,87
0.618,0.764,0,-6.027,1,0.0562,0.186,0,0.12,0.876,81.366,5XsMz0YfEaHZE0MTb1aujs,230693,4,Wake Me Up Before You Go-Go,Make It Big,Wham!,1,87
0.633,0.634,8,-12.115,1,0.0725,0.038,0.0064,0.0385,0.872,100.499,1h2xVEoJORqrg71HocgqXd,245493,4,Superstition - Single Version,The Definitive Collection,Stevie Wonder,9,87
0.707,0.923,7,-3.409,1,0.0276,0.0195,0,0.342,0.845,108.023,1q9l6c8bAzqWcvO3DM6FsR,288360,4,I Don't Feel Like Dancin',Ta Dah,Scissor Sisters,1,87
0.751,0.783,4,-3.724,1,0.0859,0.00379,0,0.036,0.816,119.975,2CEgGE6aESpnmtfiZwYlbV,202613,4,Dynamite,The Rokstarr Hits Collection,Taio Cruz,1,87
0.702,0.839,7,-3.992,1,0.0439,8.1e-05,0,0.072,0.856,132.007,22Lg6vvMS2JC07aAjsGvtU,223227,4,Hot N Cold,Hot N Cold,Katy Perry,1,87
0.794,0.832,1,-4.862,0,0.0407,0.237,1.14e-05,0.203,0.871,107.657,2lnzGkdtDj5mtlcOW2yRtG,196160,4,"Whenever, Wherever",Laundry Service,Shakira,3,87
0.774,0.641,1,-10.193,1,0.0799,0.0765,0,0.0867,0.875,113.256,3qI94hINNNeb4S7xQi18lS,214200,4,Blame It on the Boogie,Destiny,The Jacksons,1,87
0.709,0.824,1,-8.824,1,0.0453,0.207,0.000307,0.0888,0.867,118.818,2tUBqZG2AbRi7Q0BIrVrEj,291293,4,I Wanna Dance with Somebody (Who Loves Me),Whitney,Whitney Houston,1,87
0.689,0.912,9,-3.673,1,0.0302,0.174,0.000243,0.298,0.982,125.94,06rPFgQsKS607RhYIqCmGq,216347,4,September,"Now, Then & Forever","Earth, Wind & Fire",3,87
0.579,0.904,5,-2.729,1,0.0618,0.193,0,0.064,0.681,82.014,1rqqCSm0Qe4I9rUvWncaom,190947,4,High Hopes,Pray for the Wicked,Panic! At The Disco,4,87
0.684,0.675,11,-8.123,1,0.0257,0.163,0,0.242,0.924,107.064,5BckPAYcKEJuYs1eV1BHHe,243933,4,Take A Chance On Me,The Album,ABBA,2,87
0.774,0.838,5,-3.914,0,0.114,0.0249,0.025,0.242,0.924,143.04,6I9VzXrHxO9rA9A5euc8Ak,198800,4,Toxic,In The Zone,Britney Spears,6,87
0.535,0.948,6,-4.19,0,0.0356,0.00225,0,0.376,0.778,103.183,3DQVgcqaP3iSMbaKsd57l5,173680,4,I Bet You Look Good On The Dancefloor,"Whatever People Say I Am, That's What I'm Not",Arctic Monkeys,2,87
0.641,0.922,2,-4.457,1,0.0786,0.0291,0,0.0862,0.847,146.078,3bidbhpOYeV4knp8AIu8Xn,258343,4,Can't Hold Us (feat. Ray Dalton),The Heist,Macklemore & Ryan Lewis,2,87
0.639,0.845,0,-3.333,0,0.0372,0.0528,0,0.336,0.871,119.48,1FHNctV68GUNLgXclG2DtR,233373,4,Dancing in the Moonlight,Dancing In The Moonlight: The Best Of Toploader,Toploader,1,87
0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,0FE9t6xYkqWXU2ahLh6D8X,233713,4,Shape of You,Shape of You,Ed Sheeran,1,87
0.666,0.83,0,-5.715,1,0.0751,0.0123,0,0.191,0.702,113.03,6JV2JOEocMgcZxYSZelKcc,236002,4,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")","CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,1,87
0.762,0.608,0,-11.36,1,0.0644,0.294,0.00148,0.117,0.841,106.931,1pj3RzpA5AoXkZln0NockI,169840,4,"You're The One That I Want - From ""Grease"" Original Motion Picture Soundtrack",Grease (Limited Edition),Various Artists,4,87
0.774,0.511,11,-8.914,1,0.0319,0.322,0,0.0672,0.771,94.736,4gavOCQdZ2g86gkvi17FM7,227653,4,Wonderful Christmastime - Remastered 2011 / Edited Version,McCartney II (Special Edition),Paul McCartney,7,87
0.519,0.772,0,-6.784,1,0.0331,0.534,1.21e-05,0.271,0.961,79.618,5RKZ9zCtLjBLTea7qkSFqr,166907,4,I'm a Believer,The Definitive Monkees,The Monkees,5,87
0.851,0.551,4,-5.177,1,0.0396,0.151,0,0.0827,0.807,131.922,66S14BkJDxgkYxLl5DCqOz,219467,4,I'm Gonna Be (500 Miles),Finest,The Proclaimers,1,87
0.67,0.584,8,-8.325,1,0.034,0.439,0.00614,0.178,0.944,98.185,3tSi6iFO9yLGIYIqMEgjC9,179227,4,I Want You Back,Anthology: Jackson 5,The Jackson 5,1,87
0.646,0.77,2,-6.596,0,0.226,0.00249,0,0.0715,0.681,99.165,5IVuqXILoxVWvWEPm82Jxr,236133,4,Crazy In Love (feat. Jay-Z),Dangerously In Love,Beyoncé,1,87
0.554,0.881,9,-6.463,1,0.0292,0.000225,2.94e-05,0.114,0.507,107.023,3EktVeMMB0WLZxbmuAgkRS,210067,4,What I Go To School For,Busted,Busted,1,87
0.675,0.895,4,-4.904,1,0.0484,0.319,0,0.369,0.824,108.093,1fn6EFBBNiDVhL3DxDDJTD,213600,4,Bring It All Back,S Club,S Club 7,1,87
0.778,0.824,10,-5.892,0,0.0707,0.284,0,0.405,0.758,100.024,3ZFTkvIE7kyPt6Nu3PEa7V,218093,4,Hips Don't Lie (feat. Wyclef Jean),"Oral Fixation, Vol. 2 (Expanded Edition)",Shakira,3,87
0.671,0.373,9,-18.064,1,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,2374M0fQpWi3dLnB54qaLX,295893,4,Africa,Toto IV,TOTO,10,87
0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,3E7dfMvvCLUddWissuqMwr,202067,4,Party In The U.S.A.,The Time Of Our Lives (International Version),Miley Cyrus,2,87
0.547,0.82,8,-6.728,1,0.0805,0.261,0,0.3,0.933,118.208,6Ac4NVYYl2U73QiTt11ZKd,172867,4,Hooked On A Feeling,Hooked On A Feeling,Blue Swede,1,87
0.735,0.645,11,-8.147,0,0.0273,0.277,0,0.458,0.881,106.753,0QPYn15U8IQHKcH2LDfrek,266147,4,Last Christmas,Christmas Hits,Various Artists,2,87
0.836,0.509,0,-13.668,1,0.0548,0.467,4.1e-06,0.0436,0.949,138.714,5IMtdHjJ1OtkxbGe4zfUxQ,276493,4,Escape (The Pina Colada Song),Partners In Crime,Rupert Holmes,1,87
0.707,0.788,6,-5.269,1,0.0333,0.214,0.000571,0.308,0.746,120.465,2zjt2hHBbiv5SuxYg8Z7eP,238120,4,Girls Just Want to Have Fun,She's So Unusual: A 30th Anniversary Celebration (Deluxe Edition),Cyndi Lauper,2,87
0.73,0.487,4,-10.991,1,0.0303,0.258,0.01,0.0852,0.731,114.965,0U6Ga0VWSGq6iEE1AKkgO1,226653,4,Everywhere - Remastered,Tango In the Night (Deluxe),Fleetwood Mac,3,87
0.7,0.384,9,-9.472,1,0.0396,0.338,0.00342,0.0766,0.754,97.216,02wPeiptJ7S9H9eL8F6jOk,176360,4,Stop The Cavalry,Heart Skips Beat,Jona Lewie,3,87
0.578,0.866,1,-3.804,1,0.0619,0.00701,0,0.257,0.619,128.038,4kbj5MwxO1bq9wjT5g9HaA,199080,4,Shut Up and Dance,TALKING IS HARD,WALK THE MOON,3,87
0.617,0.84,4,-4.063,1,0.0512,0.36,8.85e-05,0.179,0.57,94.676,3LI4MmibTkXH5cGpCGZgyw,241840,4,Teenage Dirtbag,"Songs From Dawson's Creek, Vol. II",Various Artists,10,87
0.609,0.514,10,-7.589,1,0.0355,0.465,0.000238,0.118,0.594,63.44,54fvgxr5WYXNsnmKwMc7S1,216627,4,White Christmas (with Shy'm),White Christmas (with Shy'm),Michael Bublé,1,87
0.601,0.504,5,-9.761,1,0.0284,0.31,0,0.137,0.564,78.986,24fQpRwKFkC3Fe8QtvvrNw,242267,4,Back for Good - Radio Mix,Nobody Else (Deluxe),Take That,2,87
0.594,0.786,7,-6.968,1,0.035,0.00942,2.85e-06,0.187,0.786,167.16,6vkkluJq72ahHSZNe3ZAiL,243267,4,Reach - Radio Edit,7,S Club 7,1,87
0.749,0.491,10,-9.655,1,0.0403,0.02,0.00899,0.159,0.536,119.528,3vkQ5DAB1qQMYO4Mr9zJN6,292613,4,Gimme! Gimme! Gimme! (A Man After Midnight),Voulez-Vous,ABBA,13,87
0.411,0.918,4,-2.761,1,0.0509,0.00146,0.000786,0.375,0.432,82.634,46w8k81V0eSBx64XuVHxT2,219493,4,Christmas Time (Don't Let the Bells End),Christmas Time (Don't Let the Bells End),The Darkness,1,87
0.749,0.748,2,-7.011,1,0.0323,0.295,0.000443,0.469,0.827,137.547,2TxCwUlqaOH3TIyJqGgR91,213267,4,Mamma Mia,Abba,ABBA,1,87
0.865,0.521,0,-6.932,1,0.0371,0.548,0.000115,0.0989,0.748,129.059,1qDrWA6lyx8cLECdZE7TV7,244885,4,Somebody That I Used To Know,Making Mirrors,Gotye,3,87
0.663,0.6,7,-10.87,1,0.032,0.43,0,0.184,0.8,129.991,1LeWIs2hP2r5yOQnVuYoI5,151667,4,Ain't No Mountain High Enough,United,Marvin Gaye,1,87
0.743,0.766,0,-6.375,1,0.0265,0.0873,0,0.509,0.61,127.96,4kLLWz7srcuLKA7Et40PQR,289133,4,I Gotta Feeling,THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version],Black Eyed Peas,5,87
0.659,0.513,0,-7.186,1,0.0293,0.315,0,0.283,0.855,133.609,6sPOmDulFtLzfX25zICNrC,177533,4,Build Me Up Buttercup - Mono,The Foundations,The Foundations,7,87
0.646,0.778,7,-5.364,1,0.158,0.06,0,0.497,0.945,160.082,0GG7ei637NDIN2w11TWtLC,219200,4,Shake It Off,Shake It Off,Taylor Swift,1,87
0.277,0.663,4,-8.821,0,0.0377,0.000409,0.00051,0.136,0.527,104.561,20I8RduZC2PWMWTDCZuuAN,237027,4,Take Me Out,Franz Ferdinand,Franz Ferdinand,3,87
0.754,0.424,2,-8.463,1,0.0363,0.643,0,0.0652,0.806,119.705,3hBXvHLlTHvnbwrPbeoyAj,130973,4,Jingle Bell Rock,The Classic Years: 1956-1962,Bobby Helms,11,87
0.618,0.748,0,-8.905,1,0.361,0.0384,4.1e-06,0.0477,0.662,134.001,3FmAUR4SPWa3P1KyDf21Fu,191500,4,Roxanne - Remastered 2003,Outlandos D'Amour (Remastered),The Police,3,87
0.706,0.751,9,-6.323,1,0.0708,0.173,0,0.168,0.195,91.031,4E5P1XyAFtrjpiIxkydly4,182307,4,Replay,Replay,Iyaz,1,87
0.496,0.857,0,-3.313,1,0.0649,0.0622,0,0.0495,0.619,167.144,140ba2Ta8P3GJJuLb8vMC0,223813,4,She's So Lovely,Scouting For Girls,Scouting For Girls,2,87
0.466,0.615,0,-9.102,1,0.0492,0.413,0,0.343,0.812,108.016,5uzNa0SBGOe5pPnstWHMCt,273720,4,Come On Eileen,Too Rye Ay (Deluxe Edition),Dexys Midnight Runners,10,87
0.682,0.641,8,-8.915,1,0.0386,0.568,0,0.224,0.826,141.002,09OojFvtrM9YRzRjnXqJjA,126146,4,Rockin' Around the Christmas Tree,A Brenda Lee Christmas,Brenda Lee,1,87
0.543,0.87,9,-6.514,1,0.0428,0.358,0.000939,0.792,0.754,100.804,0GjEhVFGZW8afUYGChu3Rr,230400,4,Dancing Queen,Arrival,ABBA,2,87
0.727,0.729,0,-2.99,1,0.326,0.171,0,0.07,0.512,117.932,22UDw8rSfLbUsaAGTXQ4Z8,284733,4,American Boy,Shine,Estelle,3,87
0.511,0.815,7,-3.14,1,0.144,0.0491,0,0.0826,0.586,154.514,1bCmvezFg5MRcENzCGG1Cy,215307,4,Chelsea Dagger,Costello Music,The Fratellis,4,87
0.542,0.905,9,-5.653,1,0.054,0.00172,0.0104,0.136,0.374,153.398,0ntQJM78wzOLVeCUAW7Y45,203347,4,Sex on Fire,Only By The Night,Kings of Leon,3,87
0.648,0.931,1,-3.15,0,0.181,0.00937,0,0.752,0.744,153.649,7KIbDUwumrpG5f30kEYW1v,213067,4,Pump It,Monkey Business,Black Eyed Peas,1,87
0.491,0.802,4,-7.106,1,0.0392,0.25,0,0.387,0.472,119.25,77NNZQSqzLNqh2A9JhLRkg,248907,4,Don't Stop Believin',The Essential Journey,Journey,2,87
0.605,0.822,0,-4.833,1,0.0438,0.00671,0.134,0.147,0.288,167.997,1zB4vmk8tFRmM9UULNzbLB,187147,4,Thunder,Evolve,Imagine Dragons,10,87
0.351,0.928,1,-3.71,1,0.0759,0.00113,0,0.0988,0.239,148.03,0eGsygTp906u18L0Oimnem,222076,4,Mr. Brightside,Hot Fuss,The Killers,2,87
0.518,0.679,11,-5.406,0,0.0355,0.079,4.85e-05,0.0588,0.106,132.146,2knr7ikPt4l7bk92qS4ZXW,214133,4,Euphoria,Heal,Loreen,4,87
0.675,0.384,1,-7.12,1,0.045,0.752,0,0.167,0.415,86.953,2SBr3MK1sdMs8IxdRcN6qz,201653,4,Santa Baby,Kylie Christmas,Kylie Minogue,11,87
0.343,0.76,3,-7.146,1,0.0513,0.392,0.000388,0.0773,0.356,126.322,4TJ7VNAE34mEMrvUTCRvtF,166453,4,Christmas (Baby Please Come Home),Christmas Hits,Various Artists,31,87
0.5,0.501,0,-8.284,0,0.0376,0.462,0,0.26,0.623,144.438,0cGG2EouYCEEC3xfa0tDFV,153800,4,Tainted Love,Non-Stop Erotic Cabaret,Soft Cell,2,87
0.335,0.625,7,-7.462,1,0.0386,0.164,0,0.0708,0.346,150.277,7nQrUXVzVeYb0hAuabfmaP,241107,4,All I Want for Christmas Is You,Christmas Hits,Various Artists,1,87
0.647,0.465,7,-8.308,1,0.0428,0.865,0,0.0882,0.699,151.251,6tjituizSxwSmBB5vtgHZE,119787,4,Holly Jolly Christmas,Christmas,Michael Bublé,6,87
0.255,0.43,9,-12.564,1,0.0322,0.546,1.87e-05,0.188,0.546,164.267,2xYlyywNgefLCRDG8hlxZq,197813,4,"Take Me Home, Country Roads - Rerecorded","The John Denver Collection, Vol. 1: Take Me Home Country Roads",John Denver,1,87
0.195,0.595,2,-6.957,1,0.0372,0.737,0,0.182,0.719,201.908,7N1AVQJ6MlUUjPElAPZhkS,165933,3,It's The Most Wonderful Time Of The Year,Christmas Hits,Various Artists,2,87
0.426,0.584,1,-5.293,1,0.296,0.0383,0,0.192,0.272,193.438,557un1HgwYMuqfWGSTmnxw,192587,4,Single Ladies (Put a Ring on It),I AM...SASHA FIERCE - Platinum Edition,Beyoncé,1,87
0.388,0.338,10,-10.054,1,0.0329,0.652,3.73e-06,0.248,0.478,177.765,2RlgNHKcydI9sayD2Df2xp,303373,4,Mr. Blue Sky,Out of the Blue,Electric Light Orchestra,13,87
0.323,0.151,2,-10.406,0,0.0371,0.938,7.26e-06,0.109,0.205,169.892,05rsnZ6uwlYc6abVMVuZNd,268000,3,Fight,Fight,Pesukone,1,87
